期号,日期,开奖号码
25121,2025-05-11,"['4', '2', '4']"
25120,2025-05-10,"['4', '0', '1']"
25119,2025-05-09,"['7', '0', '3']"
25118,2025-05-08,"['2', '5', '5']"
25117,2025-05-07,"['1', '7', '0']"
25116,2025-05-06,"['3', '6', '0']"
25115,2025-05-05,"['8', '4', '7']"
25114,2025-05-04,"['1', '9', '2']"
25113,2025-05-03,"['0', '2', '9']"
25112,2025-05-02,"['4', '8', '3']"
25111,2025-05-01,"['5', '8', '8']"
25110,2025-04-30,"['1', '1', '6']"
25109,2025-04-29,"['6', '1', '9']"
25108,2025-04-28,"['8', '7', '7']"
25107,2025-04-27,"['7', '2', '6']"
25106,2025-04-26,"['0', '7', '6']"
25105,2025-04-25,"['0', '8', '4']"
25104,2025-04-24,"['1', '4', '4']"
25103,2025-04-23,"['4', '7', '1']"
25102,2025-04-22,"['2', '3', '3']"
25101,2025-04-21,"['9', '1', '1']"
25100,2025-04-20,"['9', '9', '7']"
25099,2025-04-19,"['1', '7', '4']"
25098,2025-04-18,"['1', '9', '2']"
25097,2025-04-17,"['1', '7', '1']"
25096,2025-04-16,"['9', '4', '8']"
25095,2025-04-15,"['6', '7', '2']"
25094,2025-04-14,"['5', '3', '4']"
25093,2025-04-13,"['4', '3', '2']"
25092,2025-04-12,"['7', '2', '1']"
25091,2025-04-11,"['8', '3', '0']"
25090,2025-04-10,"['9', '9', '3']"
25089,2025-04-09,"['2', '0', '8']"
25088,2025-04-08,"['2', '2', '2']"
25087,2025-04-07,"['8', '4', '5']"
25086,2025-04-06,"['6', '3', '4']"
25085,2025-04-05,"['3', '5', '3']"
25084,2025-04-04,"['3', '0', '4']"
25083,2025-04-03,"['5', '9', '3']"
25082,2025-04-02,"['3', '4', '4']"
25081,2025-04-01,"['7', '6', '6']"
25080,2025-03-31,"['7', '3', '8']"
25079,2025-03-30,"['2', '9', '6']"
25078,2025-03-29,"['1', '1', '3']"
25077,2025-03-28,"['4', '2', '5']"
25076,2025-03-27,"['4', '0', '7']"
25075,2025-03-26,"['7', '4', '3']"
25074,2025-03-25,"['1', '7', '9']"
25073,2025-03-24,"['1', '3', '2']"
25072,2025-03-23,"['9', '3', '5']"
25071,2025-03-22,"['4', '6', '2']"
25070,2025-03-21,"['7', '7', '1']"
25069,2025-03-20,"['9', '3', '4']"
25068,2025-03-19,"['9', '7', '5']"
25067,2025-03-18,"['6', '7', '1']"
25066,2025-03-17,"['1', '8', '4']"
25065,2025-03-16,"['9', '9', '0']"
25064,2025-03-15,"['6', '5', '6']"
25063,2025-03-14,"['4', '6', '6']"
25062,2025-03-13,"['2', '5', '7']"
25061,2025-03-12,"['4', '9', '0']"
25060,2025-03-11,"['7', '9', '3']"
25059,2025-03-10,"['7', '7', '1']"
25058,2025-03-09,"['6', '7', '2']"
25057,2025-03-08,"['7', '6', '5']"
25056,2025-03-07,"['7', '1', '6']"
25055,2025-03-06,"['9', '1', '6']"
25054,2025-03-05,"['3', '8', '4']"
25053,2025-03-04,"['8', '9', '9']"
25052,2025-03-03,"['3', '3', '7']"
25051,2025-03-02,"['9', '7', '3']"
25050,2025-03-01,"['5', '7', '0']"
25049,2025-02-28,"['0', '3', '7']"
25048,2025-02-27,"['5', '7', '0']"
25047,2025-02-26,"['8', '0', '6']"
25046,2025-02-25,"['3', '7', '2']"
